age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,balance_per_age,balance_log,balance_positive,balance_category,campaign_intensity,total_contacts,is_first_campaign,contacted_before,pdays_normalized,recent_contact,month_num,month_sin,month_cos,quarter,has_debt,debt_count,prev_success,duration_per_contact,Cluster,deposit_numeric
59,admin.,married,secondary,no,2343,yes,no,unknown,5,may,1042,1,-1,0,unknown,yes,39.05,9.126088819528592,1,very_high,1.0,1,1,0,855,0,5,0.49999999999999994,-0.8660254037844387,Q2,1,1,0,521.0,0,1
56,admin.,married,secondary,no,45,no,no,unknown,5,may,1467,1,-1,0,unknown,yes,0.7894736842105263,8.83840674707681,1,low,1.0,1,1,0,855,0,5,0.49999999999999994,-0.8660254037844387,Q2,0,0,0,733.5,0,1
41,technician,married,secondary,no,1270,yes,no,unknown,5,may,1389,1,-1,0,unknown,yes,30.238095238095237,9.001962272862446,1,high,1.0,1,1,0,855,0,5,0.49999999999999994,-0.8660254037844387,Q2,1,1,0,694.5,0,1
55,services,married,secondary,no,2476,yes,no,unknown,5,may,579,1,-1,0,unknown,yes,44.214285714285715,9.140454244512016,1,very_high,1.0,1,1,0,855,0,5,0.49999999999999994,-0.8660254037844387,Q2,1,1,0,289.5,0,1
54,admin.,married,tertiary,no,184,no,no,unknown,5,may,673,2,-1,0,unknown,yes,3.3454545454545452,8.858368636308018,1,medium,2.0,2,1,0,855,0,5,0.49999999999999994,-0.8660254037844387,Q2,0,0,0,224.33333333333334,1,1
42,management,single,tertiary,no,0,yes,yes,unknown,5,may,562,2,-1,0,unknown,yes,0.0,8.831857935197906,0,low,2.0,2,1,0,855,0,5,0.49999999999999994,-0.8660254037844387,Q2,1,2,0,187.33333333333334,1,1
56,management,married,tertiary,no,830,yes,yes,unknown,6,may,1201,1,-1,0,unknown,yes,14.56140350877193,8.946244609330543,1,high,1.0,1,1,0,855,0,5,0.49999999999999994,-0.8660254037844387,Q2,1,2,0,600.5,0,1
60,retired,divorced,secondary,no,545,yes,no,unknown,6,may,1030,1,-1,0,unknown,yes,8.934426229508198,8.908424139496578,1,medium,1.0,1,1,0,855,0,5,0.49999999999999994,-0.8660254037844387,Q2,1,1,0,515.0,0,1
37,technician,married,secondary,no,1,yes,no,unknown,6,may,608,1,-1,0,unknown,yes,0.02631578947368421,8.83200393125627,1,low,1.0,1,1,0,855,0,5,0.49999999999999994,-0.8660254037844387,Q2,1,1,0,304.0,0,1
28,services,single,secondary,no,5090,yes,no,unknown,6,may,1297,3,-1,0,unknown,yes,175.51724137931035,9.387565631345389,1,very_high,3.0,3,1,0,855,0,5,0.49999999999999994,-0.8660254037844387,Q2,1,1,0,324.25,0,1
38,admin.,single,secondary,no,100,yes,no,unknown,7,may,786,1,-1,0,unknown,yes,2.5641025641025643,8.846353043314327,1,low,1.0,1,1,0,855,0,5,0.49999999999999994,-0.8660254037844387,Q2,1,1,0,393.0,0,1
30,blue-collar,married,secondary,no,309,yes,no,unknown,7,may,1574,2,-1,0,unknown,yes,9.96774193548387,8.875985891325971,1,medium,2.0,2,1,0,855,0,5,0.49999999999999994,-0.8660254037844387,Q2,1,1,0,524.6666666666666,0,1
29,management,married,tertiary,no,199,yes,yes,unknown,7,may,1689,4,-1,0,unknown,yes,6.633333333333334,8.860499167616016,1,medium,4.0,4,1,0,855,0,5,0.49999999999999994,-0.8660254037844387,Q2,1,2,0,337.8,0,1
46,blue-collar,single,tertiary,no,460,yes,no,unknown,7,may,1102,2,-1,0,unknown,yes,9.787234042553191,8.896861744480391,1,medium,2.0,2,1,0,855,0,5,0.49999999999999994,-0.8660254037844387,Q2,1,1,0,367.3333333333333,0,1
31,technician,single,tertiary,no,703,yes,no,unknown,8,may,943,2,-1,0,unknown,yes,21.96875,8.929567707825337,1,high,2.0,2,1,0,855,0,5,0.49999999999999994,-0.8660254037844387,Q2,1,1,0,314.3333333333333,0,1
